bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
1.022642933938665344e+01,1.176250000000000000e+03,2.004838557657456022e+01,-2.975388862742720519e+00,2.895312936963527477e+02,-1.537405662917390003e+00
1.150040762452527687e+01,8.792500000000000000e+02,6.502880113272510698e+00,-7.025947196166377751e+00,1.938236210332000269e+02,-1.779359079353910023e+00
9.747431185770368600e+00,9.452500000000000000e+02,1.817907740794049687e+01,-4.006131526869223691e+00,1.497958885239960694e+02,-1.367907827105460106e+00
nan,nan,nan,nan,nan,-1.850464387499169971e+00
1.019120338413935656e+01,9.342500000000000000e+02,1.558228553792628190e+01,-4.520278106867201551e+00,3.831648781817477243e+02,-1.476597752719029932e+00
1.074402003844021891e+01,7.912500000000000000e+02,1.485584430281159030e+01,-7.076234499658425214e+00,2.855453446184797599e+02,-1.441756692994750066e+00
1.030430088583004533e+01,6.977489948874991796e+02,5.380559974098446219e+00,-2.709510940660486256e+00,2.711076132180366471e+02,-1.959726404246509901e+00
9.693576329314392837e+00,1.181750000000000000e+03,1.906171920412646159e+01,-4.052325643061500671e+00,3.651246479378360732e+02,-1.449389614623949996e+00
1.116427519089670994e+01,6.038569955719732434e+02,1.391624161720841357e+01,-2.340691612233237962e+00,3.406894752931459038e+02,-1.545484927711320067e+00
1.044312405489638884e+01,6.220768716260092788e+02,8.040236118993391301e+00,-3.985588557239606367e+00,3.480287331338631134e+02,-1.320689681815740091e+00
nan,nan,nan,nan,nan,-1.460444936966559970e+00
9.397575527481285107e+00,9.837500000000000000e+02,6.964850436200549666e+00,-1.861400991318617137e+00,3.852412822942456501e+02,-1.410917303957619939e+00
7.945173304334567810e+00,1.225750000000000000e+03,1.679876548285068338e+01,-1.998360872847745107e+00,3.367019471366113521e+02,-1.820463204049100003e+00
9.561553790914187445e+00,1.181750000000000000e+03,1.366142121583544622e+01,-2.276909342361384425e+00,2.556038243512385861e+02,-1.504480041017320024e+00
